Id-plot,Location,Treatment,Longitude,Latitude,Elevation,Inclination,Bearing,Richness,Abundance,Density,D_Shannon,D_Simpson,S_Evenness,Canopy_cover,N_M_Trees_adult,N_M_Eedulis_adult,FRic,FEve,FDiv,FDis,Rao,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage,ME,MI,PAT,MIN,GAL,Ed_seeds_available,Ed_seeds_preyed,Ed_predation_efforts_hours,BM_mammals_efforts_hours,BM_small_g,BM_Medium_Large_g,BM_TOTAL_g,SMALL_trampling_day,Medium_Large_trampling_day,total_trampling_day,GHG_Rep,GHG_CH4,GHG_CO2,GHG_N2O,pH_H2O,pH_CaCl2,SB,CTC,V,m,P,K,Ca,Mg,Al,H_Al,MO ,AT,Silte,Argila,Texture
CBO_p09o,CBO,open,-47.98609,-24.071048,727.443481,3,118,23,75,8.333333333,2.821442903,0.915,0.511508951,69.88,20,0,5.76E-05,0.74719745,0.50043176,0.058148126,0.004382563,0.212611757,1287.520399,17123.87883,17.55008263,18.8901123,15.59632542,2,1,1,0,0,0,20,16,720,1044,7.365812837,5.198497031,12.1782697,3.651082563,1.510592078,8.258823259,NA,NA,NA,NA,43,37,9,143,63,85,59,7,5,4,51,134,761,274,393,333,md-arg
CBO_p09c,CBO,closed,-47.986205,-24.071008,727.91449,8,779,27,40,4.444444444,2.886550466,0.919466667,0.459896983,70.62,22,1,0.003095633,0.72450716,0.404901547,0.055599188,0.008084979,2.429458109,324.7608919,19999.217,10845.43844,12.78930164,12.23572913,2,1,1,0,0,0,20,20,720,936,6.814542897,6.56667243,6.985641818,3.245811371,3.002061409,3.414599238,NA,NA,NA,NA,45,38,16,121,132,6735,79,0,11,5,33,105,681,300,365,334,md-arg
CBO_p11o,CBO,open,-47.985698,-24.062906,804.268616,16,149,35,80,8.888888889,2.958985857,0.908328826,0.311672988,64.4,21,1,1.56E-05,0.733170094,0.641893516,0.096433422,0.013425496,2.997748072,783.8658248,6118.769457,12263.05297,14.74173672,17.2710035,2,0,1,1,0,0,20,0,720,1068,7.842278779,14.98689178,15.00507689,4.048471138,11.08181916,11.09943487,NA,NA,NA,NA,4,33,5,152,33,8958,29,1,3,2,43,147,998,507,236,257,md-arg
CBO_p11c,CBO,closed,-47.985811,-24.062904,802.03241,15,122,30,86,9.555555556,2.707770263,0.8734375,0.263374486,61.18,24,3,0.270511371,0.825330811,0.627480523,0.071266929,0.010677928,1.580671707,1104.294188,9148.924473,8816.676463,14.92248688,14.60275598,2,1,1,1,0,0,20,0,720,1068,7.504391559,4.753590191,7.557994959,3.89740525,1.412962608,3.950803833,NA,NA,NA,NA,39,33,6,136,44,8537,73,0,3,3,35,13,924,582,185,232,md-ar
CBO_p12o,CBO,open,-47.986058,-24.064589,746.259644,35,274,22,81,9,1.711271186,0.614442344,0.117892991,71.97,21,0,0.000190473,0.91667801,0.599738298,0.090784474,0.012747768,3.081018203,484.8236528,11484.25489,24453.48053,12.32725692,15.24686038,2,1,1,0,0,0,20,0,720,732,6.698268054,6.698268054,10.9301741,3.183988566,3.183988566,7.657428195,NA,NA,NA,NA,45,4,14,137,102,6818,78,0,9,5,3,123,786,255,323,422,arg
CBO_p12c,CBO,closed,-47.986035,-24.06442,747.127075,25,265,12,115,12.77777778,1.233776387,0.503581771,0.167869205,73.2,28,3,3.19E-05,0.743795413,0.749112476,0.040096036,0.002825696,1.772388704,55.75634073,10960.16291,12.55941443,9.716071454,12.04862965,2,2,1,0,0,0,20,0,720,1044,7.01301579,7.01301579,7.155786546,3.162162463,3.162162463,3.299733169,NA,NA,NA,NA,43,37,1,76,132,7917,43,0,6,4,38,66,427,279,435,285,md-arg
CBO_p14o,CBO,open,-47.983904,-24.062175,745.258972,15,275,24,84,9.333333333,2.525475576,0.86410418,0.306607419,68.66,9,3,5.19E-05,0.875831868,0.522295731,0.038721258,0.003756946,1.464823038,300.9711403,10565.37476,16.68031108,14.35616306,13.3284929,2,1,1,0,0,0,20,0,720,1056,6.523562306,12.6131398,13.33596717,2.884495728,9.002341691,9.602132568,NA,NA,NA,NA,45,38,1,8,125,7619,41,0,7,3,32,7,421,225,447,329,md-arg
CBO_p14c,CBO,closed,-47.984013,-24.06219,748.46936,9,277,27,69,7.666666667,2.738752966,0.891439909,0.341166232,73.34,20,4,0.002012346,0.747561647,0.591918971,0.077726343,0.01069999,1.898500241,721.5829197,9436.720466,19.87019208,16.17847973,14.52680455,2,1,1,0,0,0,20,1,720,1044,6.722629795,6.722629795,7.123672785,2.879805622,2.879805622,3.35868477,NA,NA,NA,NA,46,38,14,134,104,5758,57,0,9,5,19,12,729,267,307,426,arg
CBO_p15o,CBO,open,-47.982107,-24.061303,747.095642,26,315,24,84,9.333333333,2.531038657,0.869502105,0.319289952,63.57,23,2,0.011848325,0.643842234,0.521421243,0.068734881,0.007628611,1.891603045,611.1873349,10164.40864,20.09424222,19.70708711,16.31469228,3,1,1,1,0,0,20,0,720,1056,7.230563153,14.31712247,14.33765053,3.417961221,10.38540272,10.41358663,NA,NA,NA,NA,43,36,9,118,76,6538,69,0,6,3,17,109,661,179,474,347,md-arg
CBO_p15c,CBO,closed,-47.982419,-24.061552,745.314453,1,54,25,83,9.222222222,2.677668671,0.903628118,0.415058824,71.24,22,10,0.001352992,0.777098859,0.636608666,0.059231207,0.004758444,0.237414489,1392.824996,13935.11445,17.73828479,17.24051319,14.63024175,1,1,0,0,0,0,20,0,720,444,4.510859507,4.510859507,4.663439094,1.233269174,1.233269174,1.344909145,NA,NA,NA,NA,42,34,11,95,116,7556,69,0,8,3,34,84,591,181,470,350,arg
