base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,14A,158,open,6/4/2017,Apr-17,0:09,0,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,1,1,1,1,300
CB,14A,158,open,6/4/2017,Apr-17,0:09,0,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,1,1,1,1,300
CB,14A,158,Open,7/4/2017,Apr-17,3:49,3,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,2,1,1,1,9500
CB,14A,158,Open,7/4/2017,Apr-17,3:49,3,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,2,1,1,0,9500
CB,14A,158,Open,7/4/2017,Apr-17,3:49,3,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,2,1,1,0,9500
CB,14A,158,open,8/4/2017,Apr-17,1:54,0,Marmosops incanus,Opossum,marsupial,onivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,3,1,1,1,60
CB,14A,158,open,10/4/2017,Apr-17,7:05,7,Turdus albicollis,bird,bird,,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,4,1,1,1,50
CB,14A,158,open,10/4/2017,Apr-17,7:05,7,Turdus albicollis,bird,bird,,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,4,1,1,0,50
CB,14A,158,open,4/17/2017,Apr-17,7:15,7,Turdus albicollis,bird,bird,,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,5,1,1,1,50
CB,14A,158,open,4/17/2017,Apr-17,7:15,7,Turdus albicollis,bird,bird,,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,5,1,1,0,50
