SITE,PLOT,GRID,efforts_hours,BM_TOTAL_g,BM_Medium_Large_g,BM_small_g,total_trampling_day,Medium_Large_trampling_day,SMALL_trampling_day
IC,5,OPEN,664,11.637391306042247,11.410239148230769,5.484796933490655,7.851189049852546,7.634577565694189,1.8273504141675876
IC,8,CLOSE,824,3.713572066704308,0,0,1.1330984647731772,0,0
IC,8,OPEN,824,13.858596547712155,13.85478992324364,4.110873864173311,10.257364620133313,10.254177269117337,0.822681232745617
IC,9,CLOSE,448,3.044522437723423,0,0,0.7191226669888469,0,0
IC,9,OPEN,824,11.99379278670526,11.98318531138954,3.713572066704308,8.382676489298277,8.372439148262373,0.6157605168793912
IC,10,CLOSE,296,3.713572066704308,0,0,0.7328875091704983,0,0
IC,10,OPEN,680,11.235866764155578,11.170449240431308,6.90875477931522,7.625222190859408,7.560038234456519,3.3331692955724455
IC,11,CLOSE,664,0,0,0,0,0,0
IC,11,OPEN,664,12.634584568201369,12.612407375407695,5.564520407322694,8.953965300499517,8.934055849833314,1.8949437055068588
IC,12,CLOSE,736,4.61512051684126,4.61512051684126,4.61512051684126,1.309063013174168,1.309063013174168,1.309063013174168
IC,12,OPEN,688,12.821297022608821,12.821260987319457,0,9.141995761608294,9.141966625577448,0
IC,14,CLOSE,840,3.9951379121386528,3.713572066704308,3.713572066704308,0.8925886195230864,0.7328875091704983,0.7328875091704983
IC,14,OPEN,840,14.904072847479162,14.904072847479162,0,11.931399032722346,11.931399032722346,0
IC,15,CLOSE,808,4.679040034554547,4.110873864173311,4.110873864173311,1.81301267562482,1.4048290113433908,1.4048290113433908
IC,15,OPEN,824,14.377396719031987,14.363882994693991,6.073812288456735,10.698787850187713,10.687575458669922,3.1937479323872817
SV,1,CLOSE,924,5.442417710521793,4.51085950651685,5.25227342804663,1.9447527415175432,1.1962507581738862,1.7815864415047795
SV,1,OPEN,1020,12.570649784719597,12.561089715955756,6.608000625296087,8.931208872995924,8.923472152653416,2.8180806466438124
SV,2,CLOSE,468,0,0,0,0,0,0
SV,2,OPEN,240,13.852248383609531,13.850888319505815,7.1785454837637,11.748226151264099,11.746861896383699,4.9692344283470975
SV,4,CLOSE,0,0,0,0,0,0,0
SV,4,OPEN,996,15.553150110089208,15.532029285492243,4.795790545596741,11.925230374911568,11.903348982581432,1.2678462107456188
SV,6,CLOSE,0,0,0,0,0,0,0
SV,6,OPEN,456,14.33430494661736,14.33430494661736,0,10.696740810427011,10.696740810427011,0
SV,8,CLOSE,972,7.666690200080086,7.1631723908466425,7.372118028337787,3.95244052251043,3.4567672328394887,3.659891917185537
SV,8,OPEN,792,7.83241092718792,0,5.303304908059076,4.348516855992982,0,1.9545308920133833
SV,10,CLOSE,564,0,0,0,0,0,0
SV,10,OPEN,840,13.12380433872073,13.115944822481827,7.601402334583733,9.658672112379442,9.65056294867051,4.182296357366041
SV,12,CLOSE,1020,7.259116128097101,7.01301578963963,7.01301578963963,3.4953582914601458,3.2425400925809815,3.2425400925809815
SV,12,OPEN,1032,15.022702475381408,14.914303163707617,6.734591659972948,11.24938712851988,11.135404179245278,2.9376973805713362
SV,14,CLOSE,828,7.852050207265889,7.771067086065406,7.771067086065406,4.4378130249246395,4.3674985341090204,4.3674985341090204
SV,14,OPEN,1032,13.48540242739205,13.377239676905916,5.017279836814924,9.70496568934599,9.582840449980372,1.5226348160071137
SV,15,CLOSE,1008,7.340186835320115,6.928537818164665,6.928537818164665,3.567484132804088,3.164067588302783,3.164067588302783
SV,15,OPEN,468,12.763259772368604,12.75130259456002,4.61512051684126,9.099806956021105,9.08785108684276,1.2709122869722684
VG,1,CLOSE,1008,7.0909098220799835,6.836259277277067,6.93828448401696,3.291268698593955,3.058931125430597,3.154121064139201
VG,1,OPEN,1008,12.901594504308633,12.612540583969206,5.707110264748875,9.235747409743126,9.001572507863747,2.044850692342234
VG,4,CLOSE,0,0,0,0,0,0,0
VG,4,OPEN,1032,12.861442670506067,12.848797205187958,8.653645314551737,9.19519200647684,9.184529653593982,4.929579464955102
VG,5,CLOSE,1068,7.659642954564682,5.484796933490655,7.57095858316901,3.838613098368744,1.8093346142586217,3.7442336408493073
VG,5,OPEN,1068,11.91489112380868,7.00397413672268,7.8636512654486515,8.171837499982068,3.20713544298403,4.036417034578178
VG,6,CLOSE,1056,7.5126175446745105,6.236369590203704,7.444833273892193,3.6911731371107668,2.480268683698353,3.6237110857842603
VG,6,OPEN,0,0,0,0,0,0,0
VG,7,CLOSE,972,8.314097335405807,6.918695219020472,7.01301578963963,4.657373322986545,3.2838263490083777,3.3755977644691066
VG,7,OPEN,468,6.846943139585379,4.795790545596741,6.042632833682381,3.2229699964979015,1.405342556109453,2.4654885639962583
VG,8,CLOSE,1032,7.855932199718614,7.13966033596492,7.13966033596492,4.125787192181707,3.3532006833329278,3.3532006833329278
VG,8,OPEN,1008,10.090008612393838,3.4339872044851463,3.4339872044851463,6.285488645920253,0.5705448583371782,0.5705448583371782
VG,9,CLOSE,996,7.846198815497425,7.409136443920128,7.719129840906732,4.088753983266776,3.6641890268621147,3.9638720893855557
VG,9,OPEN,0,0,0,0,0,0,0
VG,10,CLOSE,1032,8.37816098272068,7.664346632098617,8.27664912542186,4.56728770747926,3.8566022114637604,4.459390171186766
VG,10,OPEN,660,4.61512051684126,0,4.61512051684126,2.4941233048011813,0,2.4941233048011813
VG,11,CLOSE,960,8.24301946898925,7.409136443920128,8.229777750081887,4.564348191467836,3.7436043538031827,4.5512418439625355
VG,11,OPEN,996,9.902537101000133,7.65491704784832,8.577535420422398,6.12493942222917,3.8263260446512812,4.736011794133567
VG,12,CLOSE,564,7.916078096302786,7.791935956938058,7.908754738783246,4.0825734259333535,3.960610514778763,4.07537137849248
VG,12,OPEN,840,9.628458426207663,7.9483852851118995,8.14060704285845,6.168267329064582,4.590931362573683,4.781438978791689
VG,14,CLOSE,12,4.110873864173311,4.110873864173311,4.110873864173311,4.110873864173311,4.110873864173311,4.110873864173311
VG,14,OPEN,300,12.016067646548331,11.927753272564189,7.252053951852814,8.797336921829718,8.709035944093829,4.050044303325521
VG,15,CLOSE,408,10.830738006646618,8.621733370690162,8.621733370690162,7.305030075201364,5.101300119718597,5.101300119718597
VG,15,OPEN,96,8.229777750081887,8.15507488781144,8.15507488781144,6.152200638293575,6.077642243349034,6.077642243349034
